Rank,Gene
1123,EPC1
1124,DPYD
1125,GLOD4
1126,SMIM26
1127,RRM1
1128,TMEM222
1129,MRPL35
1130,POLG
1131,CANX
1132,BID
1133,PUF60
1134,SCOC
1135,CDK16
1136,C19orf66
1137,MAP1LC3A
1138,YARS
1139,GHITM
1140,PTBP1
1141,PHF19
1142,FAM136A
1143,NUDT21
1144,HPF1
1145,FAM89B
1146,POM121
1147,BRD9
1148,PTRHD1
1149,TMOD3
1150,ZNF292
1151,NDUFC2
1152,TMED10
1153,CYP20A1
1154,NDUFA6
1155,FAM13B
1156,GRK2
1157,RBM48
1158,TANK
1159,EAPP
1160,CDK6
1161,RANGRF
1162,NUCKS1
1163,POLR2A
1164,CHMP6
1165,TNIP2
1166,POP4
1167,BORCS5
1168,ABCF2-1
1169,NENF
1170,FDFT1
1171,HSPBAP1
1172,MRFAP1L1
1173,MRPL14
1174,CHIC2
1175,USF2
1176,COQ10B
1177,DCAF15
1178,TBL1XR1
1179,COMMD7
1180,MAFG
1181,COPS6
1182,NORAD
1183,MRPL4
1184,TMEM50A
1185,DEK
1186,MICAL1
1187,TBC1D5
1188,SDAD1
1189,MRPL54
1190,CDC34
1191,PSMC3
1192,KAT6B
1193,TAX1BP1
1194,SECISBP2L
1195,METTL9
1196,XAF1
1197,MED30
1198,ZNF655
1199,MICU1
1200,PRPF4B
1201,AP3S1
1202,ATP5F1A
1203,CAPNS1
1204,CPD
1205,SLU7
1206,SNAP23
1207,APBB1IP
1208,N4BP2L2
1209,NME1
1210,CCDC124
1211,SNRPB
1212,NCOA4
1213,VHL
1214,MED25
1215,SSU72
1216,TPP1
1217,CCT6A
1218,VPS36
1219,ANP32A
1220,TMEM219
1221,ANAPC5
1222,NDUFV2
1223,APEX1
1224,GRK6
1225,NLRC5
1226,MRPL37
1227,RC3H1
1228,GOLGA3
1229,MAP2K3
1230,FBXL5
1231,PDIA6
1232,XAB2
1233,C2orf76
1234,ITGAL
1235,CASC3
1236,ATP6V1D
1237,ERO1B
1238,PCGF5
1239,EMC10
1240,PRRC2B
1241,PES1
1242,LMAN2
1243,FXR1
1244,SMC4
1245,ZC3H7A
1246,HDAC9
1247,ZNF335
1248,RBM17
1249,TMEM71
1250,SF3A1
1251,VMA21
1252,MMP24OS
1253,POLR2G
1254,CCDC167
1255,PPP2R3C
1256,DPP7
1257,DNAJC21
1258,RNMT
1259,AFTPH
1260,CSNK2B
1261,PPP3CA
1262,MAP2K1
1263,ACAA2
1264,TRAPPC3
1265,EHBP1L1
1266,DUSP10
1267,DPY30
1268,UHMK1
1269,TOX4
1270,TMEM167A
1271,TRIM14
1272,PDS5A
1273,RALY
1274,DNAJC4
1275,TPP2
1276,SMC5
1277,SMG1
1278,SMC1A
1279,FAAP20
1280,LSM8
1281,NDUFA2
1282,SBNO2
1283,MIEN1
1284,PDAP1
1285,ZSCAN16-AS1
1286,NDUFB10
1287,SLC3A2
1288,PDE7A
1289,SREK1IP1
1290,SNHG7
1291,SSH2
1292,EED
1293,SELENOT
1294,RAP1GDS1
1295,NMRK1
1296,PDCD5
1297,BTBD10
1298,C4orf48
1299,SRP19
1300,HMGCS1
1301,IER3IP1
1302,ELL
1303,RAB5A
1304,DEF6
1305,MED19
1306,RAB37
1307,SETX
1308,PFKL
1309,OTUD6B-AS1
1310,GLS
1311,GPI
1312,HACD4
1313,LAMTOR5
1314,TMF1
1315,RSL24D1
1316,ELOVL6
1317,TMEM41A
1318,PARP14
1319,TXNL4A
1320,ATP5PD
1321,ANP32B
1322,NPEPPS
1323,STX4
1324,SIGIRR
1325,TRAPPC10
1326,PPA2
1327,IMP3
1328,BDP1
1329,CALM3
1330,ABI1
1331,GLRX5
1332,RNF138
1333,EID1
1334,CHMP5
1335,LUC7L3
1336,JTB
1337,MBOAT7
1338,SMARCE1
1339,VPS28
1340,PCIF1
1341,ZNF24
1342,TAF10
1343,EXOC5
1344,SSNA1
1345,ZNF593
1346,BZW2
1347,AGL
1348,VAPA
1349,SYF2
1350,DNAJC19
1351,EMC4
1352,CWF19L1
1353,PTTG1IP
1354,UQCC2
1355,ALKBH7
1356,ZBTB8OS
1357,NDUFB6
1358,NAA38
1359,NOP58
1360,RTF2
1361,PEX2
1362,PRCP
1363,RAB11A
1364,FAM50A
1365,TGS1
1366,RELA
1367,ERAP1
1368,RNF149
1369,PPP1CC
1370,EMC7
1371,PPP2R5E
