p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,Marker_Rank
1.1131150601503468e-132,1.5468895572904091,0.425,0.159,2.1065702513345314e-128,7,DUSP4,6
4.5480706882849347e-128,1.137263702355176,0.653,0.355,8.607223777579239e-124,7,ITGA4,7
1.3491259937869093e-127,0.9346259911410413,0.78,0.501,2.5532209432417258e-123,7,SYTL3,8
2.3304485778809682e-119,0.8803595840199847,0.759,0.483,4.410373933639733e-115,7,TNFRSF1B,9
1.5361340559177615e-118,1.1198869788635355,0.637,0.353,2.9071337008243637e-114,7,RANBP2,10
0,3.3401523432466824,0.337,0.039,0,8,CD40LG,1
8.181046034245e-312,1.572036669260989,0.877,0.387,1.5482629619808425e-307,8,LTB,2
1.7426338742267633e-258,1.5166286237971907,0.812,0.314,3.2979346069741496e-254,8,IL7R,3
1.175749031844329e-241,1.6325208821141513,0.729,0.276,2.2251050427653928e-237,8,TXNIP,4
2.275533252725293e-186,0.9104674986707746,0.937,0.638,4.306446680782617e-182,8,CD52,5
1.6493561232942675e-136,1.8317900895819461,0.391,0.122,3.121406463334401e-132,8,SIT1,6
7.732258608358947e-134,0.5976075873580098,0.943,0.779,1.4633299416319306e-129,8,S100A4,7
2.311268248156101e-108,1.5600717560320936,0.443,0.181,4.374075159635421e-104,8,FLT3LG,8
7.688026459608441e-106,1.310468659558938,0.541,0.259,1.4549590074808976e-101,8,GIMAP4,9
