"Cluster","Program","Program_Genes_Present","Top50_Genes","Overlap_Genes","Overlap_Count","Program_Genes_Count","Overlap_Fraction"
"10","NK","NKG7, GNLY, FCGR3A, KLRD1, XCL1, XCL2","IGLV5-45, IGKV1-9, IGLV1-40, IGHG1, B2M, DUSP5, IL32, GAPDH, LDHA, LAG3, STAT1, GPR171, BIRC3, HSP90AA1, PSME1, FTL, MT-ATP6, SATB1, GPR35, ISG20, S100A4, UBC, GBP5, SH2D2A, PSMB9, TXN, S100A10, ACTB, CXCR6, BCL3, SUB1, YIPF5, NINJ1, PSME2, NAMPT, DUSP4, POMP, CD2, CXCR4, IL7R, GBP1, LTB, CD3D, GZMA, ALOX5AP, HINT1, S100A6, TNFAIP3, DUSP2, BHLHE40","",0,6,0
"10","MAIT","TRAV1-2, SLC4A10, KLRB1, IL23R, CCL20, DPP4","IGLV5-45, IGKV1-9, IGLV1-40, IGHG1, B2M, DUSP5, IL32, GAPDH, LDHA, LAG3, STAT1, GPR171, BIRC3, HSP90AA1, PSME1, FTL, MT-ATP6, SATB1, GPR35, ISG20, S100A4, UBC, GBP5, SH2D2A, PSMB9, TXN, S100A10, ACTB, CXCR6, BCL3, SUB1, YIPF5, NINJ1, PSME2, NAMPT, DUSP4, POMP, CD2, CXCR4, IL7R, GBP1, LTB, CD3D, GZMA, ALOX5AP, HINT1, S100A6, TNFAIP3, DUSP2, BHLHE40","",0,6,0
"10","GammaDelta_T","TRDC, TRGC1, TRGC2, CD3D, CD3E","IGLV5-45, IGKV1-9, IGLV1-40, IGHG1, B2M, DUSP5, IL32, GAPDH, LDHA, LAG3, STAT1, GPR171, BIRC3, HSP90AA1, PSME1, FTL, MT-ATP6, SATB1, GPR35, ISG20, S100A4, UBC, GBP5, SH2D2A, PSMB9, TXN, S100A10, ACTB, CXCR6, BCL3, SUB1, YIPF5, NINJ1, PSME2, NAMPT, DUSP4, POMP, CD2, CXCR4, IL7R, GBP1, LTB, CD3D, GZMA, ALOX5AP, HINT1, S100A6, TNFAIP3, DUSP2, BHLHE40","CD3D",1,5,0.2
"10","B_Cell","CD19, MS4A1, CD79A, CD74, HLA-DRA, CD22","IGLV5-45, IGKV1-9, IGLV1-40, IGHG1, B2M, DUSP5, IL32, GAPDH, LDHA, LAG3, STAT1, GPR171, BIRC3, HSP90AA1, PSME1, FTL, MT-ATP6, SATB1, GPR35, ISG20, S100A4, UBC, GBP5, SH2D2A, PSMB9, TXN, S100A10, ACTB, CXCR6, BCL3, SUB1, YIPF5, NINJ1, PSME2, NAMPT, DUSP4, POMP, CD2, CXCR4, IL7R, GBP1, LTB, CD3D, GZMA, ALOX5AP, HINT1, S100A6, TNFAIP3, DUSP2, BHLHE40","",0,6,0
"10","Plasma_Cell","MZB1, JCHAIN, SDC1, TNFRSF17, DERL3, IGHG1, IGHG3, IGHG4","IGLV5-45, IGKV1-9, IGLV1-40, IGHG1, B2M, DUSP5, IL32, GAPDH, LDHA, LAG3, STAT1, GPR171, BIRC3, HSP90AA1, PSME1, FTL, MT-ATP6, SATB1, GPR35, ISG20, S100A4, UBC, GBP5, SH2D2A, PSMB9, TXN, S100A10, ACTB, CXCR6, BCL3, SUB1, YIPF5, NINJ1, PSME2, NAMPT, DUSP4, POMP, CD2, CXCR4, IL7R, GBP1, LTB, CD3D, GZMA, ALOX5AP, HINT1, S100A6, TNFAIP3, DUSP2, BHLHE40","IGHG1",1,8,0.125
"10","Monocyte_Myeloid","LYZ, S100A8, S100A9, CTSS, FCN1, CTSD, LGALS3, FCGR3A, CD14, TREM1","IGLV5-45, IGKV1-9, IGLV1-40, IGHG1, B2M, DUSP5, IL32, GAPDH, LDHA, LAG3, STAT1, GPR171, BIRC3, HSP90AA1, PSME1, FTL, MT-ATP6, SATB1, GPR35, ISG20, S100A4, UBC, GBP5, SH2D2A, PSMB9, TXN, S100A10, ACTB, CXCR6, BCL3, SUB1, YIPF5, NINJ1, PSME2, NAMPT, DUSP4, POMP, CD2, CXCR4, IL7R, GBP1, LTB, CD3D, GZMA, ALOX5AP, HINT1, S100A6, TNFAIP3, DUSP2, BHLHE40","",0,10,0
"10","Macrophage","LYZ, C1QA, C1QB, C1QC, APOE, TREM2, CD68, MSR1","IGLV5-45, IGKV1-9, IGLV1-40, IGHG1, B2M, DUSP5, IL32, GAPDH, LDHA, LAG3, STAT1, GPR171, BIRC3, HSP90AA1, PSME1, FTL, MT-ATP6, SATB1, GPR35, ISG20, S100A4, UBC, GBP5, SH2D2A, PSMB9, TXN, S100A10, ACTB, CXCR6, BCL3, SUB1, YIPF5, NINJ1, PSME2, NAMPT, DUSP4, POMP, CD2, CXCR4, IL7R, GBP1, LTB, CD3D, GZMA, ALOX5AP, HINT1, S100A6, TNFAIP3, DUSP2, BHLHE40","",0,8,0
"10","Dendritic_Cell","FCER1A, CST3, CLEC10A, CD1C, HLA-DRA, FCER1G","IGLV5-45, IGKV1-9, IGLV1-40, IGHG1, B2M, DUSP5, IL32, GAPDH, LDHA, LAG3, STAT1, GPR171, BIRC3, HSP90AA1, PSME1, FTL, MT-ATP6, SATB1, GPR35, ISG20, S100A4, UBC, GBP5, SH2D2A, PSMB9, TXN, S100A10, ACTB, CXCR6, BCL3, SUB1, YIPF5, NINJ1, PSME2, NAMPT, DUSP4, POMP, CD2, CXCR4, IL7R, GBP1, LTB, CD3D, GZMA, ALOX5AP, HINT1, S100A6, TNFAIP3, DUSP2, BHLHE40","",0,6,0
"10","pDC","CLEC4C, IRF7, TCF4, LILRA4, PTCRA","IGLV5-45, IGKV1-9, IGLV1-40, IGHG1, B2M, DUSP5, IL32, GAPDH, LDHA, LAG3, STAT1, GPR171, BIRC3, HSP90AA1, PSME1, FTL, MT-ATP6, SATB1, GPR35, ISG20, S100A4, UBC, GBP5, SH2D2A, PSMB9, TXN, S100A10, ACTB, CXCR6, BCL3, SUB1, YIPF5, NINJ1, PSME2, NAMPT, DUSP4, POMP, CD2, CXCR4, IL7R, GBP1, LTB, CD3D, GZMA, ALOX5AP, HINT1, S100A6, TNFAIP3, DUSP2, BHLHE40","",0,5,0
"11","T_Cell","CD3D, CD3E, CD3G, TRBC1, TRBC2","FOXP3, CTLA4, TBC1D4, DUSP4, TNFRSF4, GK, LAYN, ICOS, TNFRSF18, CD4, BATF, GEM, ARID5B, TIGIT, CD27, SNX9, DUSP16, CORO1B, CD82, SPOCK2, DNPH1, ITM2A, STAM, NR3C1, IL32, CARD16, HLA-A, NAB1, UBC, CDKN1B, MIR4435-2HG, CD28, PBXIP1, RHBDD2, IL6ST, CD2, RGS1, TNIK, CD5, EPSTI1, TLK1, FAS, TMEM173, GBP2, PHTF2, B2M, LTB, CACYBP, SARAF, CREM","",0,5,0
"11","CD8_T","CD8A, CD8B, CD3D, CD3E, TRBC1, TRBC2","FOXP3, CTLA4, TBC1D4, DUSP4, TNFRSF4, GK, LAYN, ICOS, TNFRSF18, CD4, BATF, GEM, ARID5B, TIGIT, CD27, SNX9, DUSP16, CORO1B, CD82, SPOCK2, DNPH1, ITM2A, STAM, NR3C1, IL32, CARD16, HLA-A, NAB1, UBC, CDKN1B, MIR4435-2HG, CD28, PBXIP1, RHBDD2, IL6ST, CD2, RGS1, TNIK, CD5, EPSTI1, TLK1, FAS, TMEM173, GBP2, PHTF2, B2M, LTB, CACYBP, SARAF, CREM","",0,6,0
