"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.29192153000285e-24,0.442873075204245,0.407,0.328,3.15900652516298e-20,"5","RAD21"
1.73499995276226e-24,0.365340277297185,0.634,0.565,4.24242188449427e-20,"5","CD3G"
1.83227030674012e-24,0.557898291379729,0.272,0.2,4.48026735404095e-20,"5","RAB6A"
1.94548939581122e-24,0.644504314612369,0.269,0.199,4.75711067063758e-20,"5","TTC3"
2.05015367559617e-24,0.559576042558776,0.247,0.176,5.01303576756775e-20,"5","ARIH1"
2.458347261786e-24,0.584981231573895,0.201,0.136,6.01115072451913e-20,"5","CAB39"
2.68469192730057e-24,0.508355599239205,0.351,0.275,6.56460870063534e-20,"5","CLDND1"
3.17369176931126e-24,0.559144050268004,0.288,0.216,7.7603111143199e-20,"5","KDM6B"
3.21217907965382e-24,0.568210122583799,0.22,0.152,7.85442028556952e-20,"5","ATP2A3"
4.38171548753617e-24,0.637358232858912,0.248,0.18,1.07141707101235e-19,"5","ZNF644"
4.84978217609128e-24,0.607398490998289,0.25,0.182,1.18586873769784e-19,"5","DNAJB11"
5.89601158622207e-24,0.631402887623969,0.233,0.167,1.44169275306302e-19,"5","DEGS1"
7.06742689913762e-24,0.585544920472236,0.288,0.218,1.72812722537713e-19,"5","RNF115"
7.78261249537534e-24,0.713054248356812,0.214,0.149,1.90300440736918e-19,"5","RIPOR2"
7.85697429062777e-24,0.574443437612226,0.26,0.19,1.9211873535443e-19,"5","UBE3A"
8.13509253095914e-24,0.565931359777622,0.228,0.161,1.98919282567013e-19,"5","GTF2I"
9.88056384263415e-24,0.57307855448785,0.258,0.188,2.4159954708009e-19,"5","TTC14"
9.91587343681188e-24,0.538924009399698,0.316,0.244,2.42462937276924e-19,"5","DERL1"
1.03014897446053e-23,0.710330958368989,0.2,0.138,2.5189202723509e-19,"5","PBRM1"
1.25239676303976e-23,0.611087471482349,0.229,0.163,3.06236056498482e-19,"5","NIPA2"
1.35283102721509e-23,0.485352858486708,0.344,0.269,3.30794242774634e-19,"5","CSNK1A1"
1.84679860759929e-23,0.318633353085762,0.722,0.658,4.51579195530178e-19,"5","SON"
1.93287482229993e-23,0.615960116872203,0.202,0.138,4.7262655154878e-19,"5","CLINT1"
2.13874232541296e-23,0.566145381433772,0.25,0.182,5.22965273409978e-19,"5","RNF10"
2.48026836228126e-23,0.413048792884514,0.381,0.299,6.06475219945014e-19,"5","PDCD1"
3.22890492988115e-23,0.422094370962771,0.402,0.326,7.8953183345454e-19,"5","ITGAL"
3.6799679740318e-23,0.597583906510048,0.262,0.193,8.99825769010255e-19,"5","PRNP"
4.29701594127111e-23,0.490164445878273,0.362,0.288,1.05070633795961e-18,"5","LAPTM4A"
4.52815467239293e-23,0.661229076725998,0.203,0.142,1.10722438049352e-18,"5","MCM6"
4.949195650051e-23,0.471173763753004,0.368,0.294,1.21017732035047e-18,"5","YTHDC1"
5.11359043547604e-23,0.565357997741778,0.254,0.186,1.2503751332826e-18,"5","EIF4G1"
5.74484463354858e-23,0.448542398561441,0.361,0.285,1.4047294097953e-18,"5","INSIG1"
7.39848445415576e-23,0.639353033553583,0.235,0.171,1.80907741873017e-18,"5","LMBRD1"
7.59419127288959e-23,0.567400413117163,0.244,0.176,1.85693165004696e-18,"5","ETNK1"
