"Donor","Phase","CD8_Cluster","Cells","Total_CD8_Cells","Proportion_of_Donor_CD8","Percentage_of_Donor_CD8"
"P190801","IA","6",173,2916,0.0593278463648834,5.93278463648834
"P190801","IA","8",144,2916,0.0493827160493827,4.93827160493827
"P190801","IA","9",17,2916,0.00582990397805213,0.582990397805213
"P190808","IT","0",656,1897,0.345809172377438,34.5809172377438
"P190808","IT","1",26,1897,0.0137058513442277,1.37058513442277
"P190808","IT","10",16,1897,0.00843437005798629,0.843437005798629
"P190808","IT","11",54,1897,0.0284659989457037,2.84659989457037
"P190808","IT","12",2,1897,0.00105429625724829,0.105429625724829
"P190808","IT","14",523,1897,0.275698471270427,27.5698471270427
"P190808","IT","15",2,1897,0.00105429625724829,0.105429625724829
"P190808","IT","2",52,1897,0.0274117026884555,2.74117026884555
"P190808","IT","3",212,1897,0.111755403268318,11.1755403268318
"P190808","IT","4",64,1897,0.0337374802319452,3.37374802319452
"P190808","IT","5",63,1897,0.033210332103321,3.3210332103321
"P190808","IT","6",180,1897,0.0948866631523458,9.48866631523458
"P190808","IT","7",2,1897,0.00105429625724829,0.105429625724829
"P190808","IT","8",42,1897,0.022140221402214,2.2140221402214
"P190808","IT","9",3,1897,0.00158144438587243,0.158144438587243
"P190902","IT","0",2,23,0.0869565217391304,8.69565217391304
"P190902","IT","2",18,23,0.782608695652174,78.2608695652174
"P190902","IT","3",3,23,0.130434782608696,13.0434782608696
"P190910","IT","0",323,879,0.367463026166098,36.7463026166098
"P190910","IT","1",10,879,0.0113765642775882,1.13765642775882
"P190910","IT","11",57,879,0.0648464163822526,6.48464163822526
"P190910","IT","12",3,879,0.00341296928327645,0.341296928327645
"P190910","IT","15",4,879,0.00455062571103527,0.455062571103527
"P190910","IT","2",12,879,0.0136518771331058,1.36518771331058
"P190910","IT","3",102,879,0.116040955631399,11.6040955631399
"P190910","IT","4",64,879,0.0728100113765643,7.28100113765643
"P190910","IT","5",231,879,0.262798634812287,26.2798634812287
"P190910","IT","6",33,879,0.037542662116041,3.7542662116041
"P190910","IT","8",29,879,0.0329920364050057,3.29920364050057
"P190910","IT","9",11,879,0.012514220705347,1.2514220705347
"P190911","IA","0",778,4770,0.163102725366876,16.3102725366876
"P190911","IA","1",83,4770,0.0174004192872117,1.74004192872117
"P190911","IA","10",6,4770,0.00125786163522013,0.125786163522013
"P190911","IA","11",69,4770,0.0144654088050314,1.44654088050314
"P190911","IA","12",2,4770,0.000419287211740042,0.0419287211740042
"P190911","IA","13",1,4770,0.000209643605870021,0.0209643605870021
"P190911","IA","14",5,4770,0.0010482180293501,0.10482180293501
"P190911","IA","15",6,4770,0.00125786163522013,0.125786163522013
"P190911","IA","2",145,4770,0.030398322851153,3.0398322851153
"P190911","IA","3",573,4770,0.120125786163522,12.0125786163522
"P190911","IA","4",2111,4770,0.442557651991614,44.2557651991614
"P190911","IA","5",844,4770,0.176939203354298,17.6939203354298
"P190911","IA","6",59,4770,0.0123689727463312,1.23689727463312
"P190911","IA","7",1,4770,0.000209643605870021,0.0209643605870021
"P190911","IA","8",71,4770,0.0148846960167715,1.48846960167715
"P190911","IA","9",16,4770,0.00335429769392034,0.335429769392034
"P191008","AR","1",4697,6459,0.727202353305465,72.7202353305465
"P191008","AR","10",662,6459,0.102492645920421,10.2492645920421
"P191008","AR","13",775,6459,0.119987614181762,11.9987614181762
"P191008","AR","15",159,6459,0.0246168137482582,2.46168137482582
"P191008","AR","2",1,6459,0.000154822727976467,0.0154822727976467
"P191008","AR","3",164,6459,0.0253909273881406,2.53909273881406
"P191008","AR","5",1,6459,0.000154822727976467,0.0154822727976467
"P191028","IA","0",178,5036,0.0353455123113582,3.53455123113582
"P191028","IA","1",16,5036,0.00317712470214456,0.317712470214456
