"feature","mean","variance"
"TUBB4B",-2.70834917569867e-15,1
"STAT1",-2.22855515296293e-15,1
"DMRTC1B",-0.0084592303847202,0.0090601714871044
"AL357153.1",-0.00626879532398405,0.00452789829972869
"SELENOK",-3.56948584933533e-15,1
"EBF1",-0.0119600858976001,0.0204019561433533
"BEND6",-0.00752353290331637,0.00679370449573843
"CCR7",8.48588020766421e-17,1
"TRGV3",2.00870067123531e-16,1
"IGFL2",-0.0125202854880775,0.0226718897179221
"HLA-DQA1",7.27501192275204e-16,0.999999999999996
"SLC4A10",-0.00578959505940319,0.87455201848649
"TAGAP",-3.12142194240744e-15,1
"AC097461.1",-0.00737114921347895,0.00679349760301947
"TAS2R19",-0.00859938909724216,0.00906042524661587
"CUEDC1",-0.00618629840754151,0.0045278236393102
"PPP1R15A",7.17144231458537e-16,1
"VPS37B",-3.61290127646934e-15,1
"AC022306.2",-0.0121599599534543,0.020402770741572
"FSD2",-0.00620163110946234,0.00452783751549066
"AC092118.2",-0.00752776621573298,0.0067937102433901
"DCAF4L1",-0.00626808446086238,0.00452789765638882
"RXRG",-0.00752846302296499,0.00679371118945924
"TRGV4",-2.03465582752332e-16,1
"CPE",-0.0102320905182608,0.0135956871510083
"AC090559.1",-0.00619852722063275,0.00452783470645231
"TRAV8-5",-0.0198059386696732,0.0772385689522803
"ZNF683",4.76241975507038e-17,1
"CLEC12B",-0.00750705174383246,0.00679368211896665
"FCER1A",-0.011444151604635,0.018132793051239
"TRH",-0.0161623452138503,0.0431167100786206
"AC004832.6",-1.56456376815803e-16,1
"LINC02389",-0.00627111756216957,0.00452790040138312
"LAYN",-2.44027417419446e-16,1
"ANGPTL4",-0.0126240164876579,0.0226723594877499
"IGHV4-34",-0.0238332598866702,0.191194437013664
"TRAV9-1",-0.00747076636245794,0.00679363285377035
"RNF19A",4.60982527457461e-15,0.999999999999997
"COCH",-0.0140752687431905,0.0317533776356294
"AC020931.1",-0.0102079103101339,0.0135956214689852
"TRBV23-1",-0.0194251013662025,0.519052998190619
"IGLV1-47",-0.0161010254090388,0.0431161821518434
"AC002553.2",-0.00846186504521983,0.00906017625716511
"TSPYL2",-1.29821341022898e-15,0.999999999999999
"C19orf33",-0.00841290023116008,0.00906008760642805
"AC068987.5",-0.00747373253306062,0.00679363688097712
"OSBPL6",-0.00608409439568103,0.00452773114465464
"FRAS1",-0.00601521896988674,0.00452766881291043
