"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","CD8_State"
3.76845924156827e-100,0.337451339319662,0.487,0.343,7.13180911466794e-96,"0","SRRT","CD8_Memory_GPR183"
3.94337909507563e-82,0.3374388726827,0.372,0.256,7.46284493743063e-78,"0","COX17","CD8_Memory_GPR183"
4.1584852232153e-92,0.337353722475148,0.452,0.318,7.86993328493495e-88,"0","DDX21","CD8_Memory_GPR183"
6.26053821434096e-60,0.332724529015293,0.288,0.202,1.18480685706403e-55,"0","SIAH2","CD8_Memory_GPR183"
6.2051140643404e-79,0.332599481763044,0.376,0.263,1.17431783667642e-74,"0","TMED2","CD8_Memory_GPR183"
6.69156749143586e-134,0.332353503061485,0.733,0.528,1.26637914775424e-129,"0","ELF1","CD8_Memory_GPR183"
3.31982304638201e-105,0.332288978399199,0.537,0.37,6.28276511527795e-101,"0","NR4A3","CD8_Memory_GPR183"
1.67806103043196e-50,0.332104510521099,0.257,0.182,3.17573050009247e-46,"0","PNP","CD8_Memory_GPR183"
2.93445475304744e-186,0.331151165122761,0.929,0.712,5.55345562014227e-182,"0","CALM2","CD8_Memory_GPR183"
7.36174419234143e-110,0.330846005169327,0.53,0.371,1.39321008840062e-105,"0","H2AFV","CD8_Memory_GPR183"
3.42664439706949e-136,0.330797291556261,0.764,0.553,6.48492452145401e-132,"0","ATP6V0C","CD8_Memory_GPR183"
2.73647217319421e-63,0.330755189267599,0.308,0.217,5.17877358777004e-59,"0","KDELR2","CD8_Memory_GPR183"
4.56968334499867e-114,0.330598215866981,0.563,0.393,8.64812573040999e-110,"0","JPT1","CD8_Memory_GPR183"
8.37788298891714e-96,0.330164739555696,0.435,0.3,1.58551435565257e-91,"0","SUMO1","CD8_Memory_GPR183"
2.33561945585287e-114,0.329972159933402,0.59,0.416,4.42015982020155e-110,"0","SEC62","CD8_Memory_GPR183"
5.64846922019871e-72,0.328467006789406,0.335,0.233,1.06897279992261e-67,"0","DNAJA2","CD8_Memory_GPR183"
1.1282258072529e-88,0.326874744602293,0.428,0.301,2.13516734022611e-84,"0","RSL1D1","CD8_Memory_GPR183"
1.10824321488095e-64,0.325026781642145,0.313,0.22,2.09735028416219e-60,"0","MAPRE1","CD8_Memory_GPR183"
5.53732061586807e-52,0.324550383098815,0.252,0.177,1.04793792655303e-47,"0","NOP56","CD8_Memory_GPR183"
8.64894929394335e-65,0.323717323492375,0.306,0.213,1.63681365387878e-60,"0","CMC2","CD8_Memory_GPR183"
1.21253638058711e-105,0.322761608598393,0.569,0.407,2.2947251002611e-101,"0","UBE2S","CD8_Memory_GPR183"
1.02363228275767e-113,0.322049077769485,0.665,0.479,1.93722409511889e-109,"0","CYCS","CD8_Memory_GPR183"
7.76138488024603e-105,0.321921212932028,0.533,0.37,1.46884208858656e-100,"0","USP36","CD8_Memory_GPR183"
1.21251833594638e-58,0.321837444594643,0.272,0.189,2.29469095077852e-54,"0","NGDN","CD8_Memory_GPR183"
9.83576974146093e-51,0.321262213529292,0.259,0.185,1.86141942357148e-46,"0","RELA","CD8_Memory_GPR183"
