"Donor","Phase","CD8_Cluster","CD8_Biological_Annotation","Cells","Total_CD8_Cells","Fraction_of_Donor_CD8"
"P190911","IA","8","NK-like/nonconventional cytotoxic T-cell population",71,4770,0.0148846960167715
"P190911","IA","9","NK-like cytotoxic population",16,4770,0.00335429769392034
"P191008","AR","1","Memory-associated conventional T-cell",4697,6459,0.727202353305465
"P191008","AR","10","NK/gamma-delta-like nonconventional T-cell population",662,6459,0.102492645920421
"P191008","AR","13","Gamma-delta-like cytotoxic T-cell population",775,6459,0.119987614181762
"P191008","AR","15","Gamma-delta-like nonconventional T-cell population",159,6459,0.0246168137482582
"P191008","AR","2","Activated/dysfunction-associated CD8 T-cell",1,6459,0.000154822727976467
"P191008","AR","3","Immediate-early-response CD8-associated population",164,6459,0.0253909273881406
"P191008","AR","5","Activation/tissue-associated CD8-associated population",1,6459,0.000154822727976467
"P191028","IA","0","GZMK-associated memory-like CD8 T-cell",178,5036,0.0353455123113582
"P191028","IA","1","Memory-associated conventional T-cell",16,5036,0.00317712470214456
"P191028","IA","10","NK/gamma-delta-like nonconventional T-cell population",1,5036,0.000198570293884035
"P191028","IA","11","Gamma-delta-like T-cell population",75,5036,0.0148927720413026
"P191028","IA","12","Activated/dysfunction-associated tissue-associated CD8 T-cell",29,5036,0.00575853852263701
"P191028","IA","14","NK-like cytotoxic population",2,5036,0.00039714058776807
"P191028","IA","15","Gamma-delta-like nonconventional T-cell population",1,5036,0.000198570293884035
"P191028","IA","2","Activated/dysfunction-associated CD8 T-cell",3708,5036,0.736298649722002
"P191028","IA","3","Immediate-early-response CD8-associated population",363,5036,0.0720810166799047
"P191028","IA","4","Activated/dysfunction-associated CD8 T-cell",70,5036,0.0138999205718824
"P191028","IA","5","Activation/tissue-associated CD8-associated population",248,5036,0.0492454328832407
"P191028","IA","6","NK-like cytotoxic nonconventional T-cell population",256,5036,0.0508339952343129
"P191028","IA","8","NK-like/nonconventional cytotoxic T-cell population",87,5036,0.017275615567911
"P191028","IA","9","NK-like cytotoxic population",2,5036,0.00039714058776807
"P191112","IA","0","GZMK-associated memory-like CD8 T-cell",758,2623,0.28898208158597
"P191112","IA","1","Memory-associated conventional T-cell",73,2623,0.0278307281738467
"P191112","IA","10","NK/gamma-delta-like nonconventional T-cell population",29,2623,0.0110560426991994
"P191112","IA","11","Gamma-delta-like T-cell population",91,2623,0.0346930995043843
"P191112","IA","12","Activated/dysfunction-associated tissue-associated CD8 T-cell",6,2623,0.00228745711017918
"P191112","IA","14","NK-like cytotoxic population",1,2623,0.000381242851696531
"P191112","IA","15","Gamma-delta-like nonconventional T-cell population",6,2623,0.00228745711017918
"P191112","IA","2","Activated/dysfunction-associated CD8 T-cell",43,2623,0.0163934426229508
"P191112","IA","3","Immediate-early-response CD8-associated population",456,2623,0.173846740373618
"P191112","IA","4","Activated/dysfunction-associated CD8 T-cell",77,2623,0.0293556995806329
"P191112","IA","5","Activation/tissue-associated CD8-associated population",344,2623,0.131147540983607
"P191112","IA","6","NK-like cytotoxic nonconventional T-cell population",83,2623,0.031643156690812
"P191112","IA","7","Gamma-delta-like cytotoxic T-cell population",2,2623,0.000762485703393061
"P191112","IA","8","NK-like/nonconventional cytotoxic T-cell population",651,2623,0.248189096454441
"P191112","IA","9","NK-like cytotoxic population",3,2623,0.00114372855508959
"P191126","AC","0","GZMK-associated memory-like CD8 T-cell",454,1117,0.406445837063563
"P191126","AC","1","Memory-associated conventional T-cell",22,1117,0.0196956132497762
"P191126","AC","10","NK/gamma-delta-like nonconventional T-cell population",9,1117,0.00805729632945389
"P191126","AC","11","Gamma-delta-like T-cell population",36,1117,0.0322291853178156
"P191126","AC","12","Activated/dysfunction-associated tissue-associated CD8 T-cell",3,1117,0.0026857654431513
"P191126","AC","15","Gamma-delta-like nonconventional T-cell population",1,1117,0.000895255147717099
"P191126","AC","2","Activated/dysfunction-associated CD8 T-cell",22,1117,0.0196956132497762
"P191126","AC","3","Immediate-early-response CD8-associated population",103,1117,0.0922112802148612
"P191126","AC","4","Activated/dysfunction-associated CD8 T-cell",8,1117,0.00716204118173679
"P191126","AC","5","Activation/tissue-associated CD8-associated population",167,1117,0.149507609668756
"P191126","AC","6","NK-like cytotoxic nonconventional T-cell population",234,1117,0.209489704565801
"P191126","AC","7","Gamma-delta-like cytotoxic T-cell population",32,1117,0.0286481647269472
"P191126","AC","8","NK-like/nonconventional cytotoxic T-cell population",25,1117,0.0223813786929275
"P191126","AC","9","NK-like cytotoxic population",1,1117,0.000895255147717099
"P191127","AC","0","GZMK-associated memory-like CD8 T-cell",818,3163,0.258615238697439
"P191127","AC","1","Memory-associated conventional T-cell",26,3163,0.00822004426177679
"P191127","AC","10","NK/gamma-delta-like nonconventional T-cell population",2,3163,0.000632311097059753
"P191127","AC","11","Gamma-delta-like T-cell population",35,3163,0.0110654441985457
"P191127","AC","12","Activated/dysfunction-associated tissue-associated CD8 T-cell",35,3163,0.0110654441985457
"P191127","AC","2","Activated/dysfunction-associated CD8 T-cell",54,3163,0.0170723996206133
"P191127","AC","3","Immediate-early-response CD8-associated population",155,3163,0.0490041100221309
"P191127","AC","4","Activated/dysfunction-associated CD8 T-cell",16,3163,0.00505848877647803
"P191127","AC","5","Activation/tissue-associated CD8-associated population",163,3163,0.0515333544103699
"P191127","AC","6","NK-like cytotoxic nonconventional T-cell population",180,3163,0.0569079987353778
"P191127","AC","7","Gamma-delta-like cytotoxic T-cell population",1662,3163,0.525450521656655
"P191127","AC","8","NK-like/nonconventional cytotoxic T-cell population",11,3163,0.00347771103382864
"P191127","AC","9","NK-like cytotoxic population",6,3163,0.00189693329117926
"P191210","AC","1","Memory-associated conventional T-cell",883,1193,0.740150880134116
"P191210","AC","10","NK/gamma-delta-like nonconventional T-cell population",201,1193,0.16848281642917
"P191210","AC","13","Gamma-delta-like cytotoxic T-cell population",1,1193,0.000838222967309304
"P191210","AC","15","Gamma-delta-like nonconventional T-cell population",90,1193,0.0754400670578374
"P191210","AC","3","Immediate-early-response CD8-associated population",18,1193,0.0150880134115675
"P191217","AR","0","GZMK-associated memory-like CD8 T-cell",441,2155,0.204640371229698
"P191217","AR","1","Memory-associated conventional T-cell",51,2155,0.0236658932714617
"P191217","AR","10","NK/gamma-delta-like nonconventional T-cell population",1,2155,0.000464037122969838
"P191217","AR","11","Gamma-delta-like T-cell population",33,2155,0.0153132250580046
"P191217","AR","12","Activated/dysfunction-associated tissue-associated CD8 T-cell",723,2155,0.335498839907193
"P191217","AR","15","Gamma-delta-like nonconventional T-cell population",4,2155,0.00185614849187935
"P191217","AR","2","Activated/dysfunction-associated CD8 T-cell",80,2155,0.037122969837587
"P191217","AR","3","Immediate-early-response CD8-associated population",135,2155,0.0626450116009281
"P191217","AR","4","Activated/dysfunction-associated CD8 T-cell",96,2155,0.0445475638051044
"P191217","AR","5","Activation/tissue-associated CD8-associated population",506,2155,0.234802784222738
"P191217","AR","6","NK-like cytotoxic nonconventional T-cell population",63,2155,0.0292343387470998
"P191217","AR","8","NK-like/nonconventional cytotoxic T-cell population",22,2155,0.0102088167053364
