"Rank","Gene"
686,"LINC02080"
687,"MT1E"
688,"CTLA4"
689,"AL355073.2"
690,"AC068620.2"
691,"RASSF6"
692,"LINC00861"
693,"AC005696.1"
694,"AL158071.1"
695,"TNFRSF1B"
696,"ISG15"
697,"KREMEN2"
698,"KCNJ15"
699,"C9orf41-AS1"
700,"HMGCS2"
701,"LIPN"
702,"ALAS2"
703,"BIRC3"
704,"GJC1"
705,"OR2AG2"
706,"ELF1"
707,"CATIP"
708,"IGHG1"
709,"GATA2"
710,"SELL"
711,"AC091946.2"
712,"CHST13"
713,"ARFGEF3"
714,"TESC-AS1"
715,"SAMSN1"
716,"HOPX"
717,"KIR2DL3"
718,"AL031775.2"
719,"AL132655.2"
720,"AL034405.1"
721,"PCDHGB1"
722,"AC012377.1"
723,"PAX6"
724,"AC093835.1"
725,"AC073263.2"
726,"AC018695.4"
727,"EXOC3L1"
728,"AC004263.1"
729,"PRMT9"
730,"AC068491.3"
731,"DOK7"
732,"EMP3"
733,"CSF2"
734,"AC011773.3"
735,"AP000320.1"
736,"TRAJ37"
737,"AL160269.1"
738,"MMP19"
739,"AC090515.2"
740,"AC134682.1"
741,"AF129408.1"
742,"AC000068.2"
743,"AL359851.1"
744,"TMEM266"
745,"AC004825.2"
746,"HOXB8"
747,"CALR"
748,"LINC01666"
749,"AC006486.1"
750,"CEACAM4"
751,"AC010336.1"
752,"SRRT"
753,"AC109347.2"
754,"AL929472.3"
755,"PDCD4"
756,"AL158071.5"
757,"SHISA8"
758,"CD55"
759,"CXCL14"
760,"KIR3DL1"
761,"AL358472.4"
762,"CR1"
763,"PLAC9"
764,"AQP8"
765,"FGG"
766,"IGHV3-30"
767,"LINC02202"
768,"ARC"
769,"IRF4"
770,"LRP2"
771,"AC084116.1"
772,"AC124066.1"
773,"LINC00545"
774,"LINC00266-1"
775,"EVL"
776,"LINC02102"
777,"AC109347.1"
778,"CACNB4"
779,"ZRANB2-AS1"
780,"AC093797.1"
781,"AL589765.5"
782,"AP005131.2"
783,"LINC02586"
784,"AP003110.1"
785,"KIF17"
786,"QRFPR"
787,"COL19A1"
788,"AC005041.1"
789,"LIMD2"
790,"PCDHGA6"
791,"AC135178.5"
792,"AC137810.1"
793,"AL445363.2"
794,"KCNH1"
795,"VNN3"
796,"HAVCR2"
797,"GCM1"
798,"MT-ATP6"
799,"UPB1"
800,"DIAPH2-AS1"
801,"APOF"
802,"AC004232.2"
803,"FAM19A5"
804,"HRASLS5"
805,"TRAJ48"
806,"S100A11"
807,"AC073957.3"
808,"AP001189.5"
809,"TIGIT"
810,"AC007378.1"
811,"PFKFB1"
812,"SFTPB"
813,"SRSF7"
814,"DCHS1"
815,"ERICH3"
816,"ELF3-AS1"
817,"AP002498.1"
818,"ARL4D"
819,"AC007743.1"
820,"LINC01554"
821,"SLC16A2"
822,"IGKV3-15"
823,"LCA5"
824,"KIT"
825,"AC123768.4"
826,"IGHV3-53"
827,"AC093752.3"
828,"MEF2B"
829,"AC063943.1"
830,"BRD2"
831,"C12orf57"
832,"AC012313.6"
833,"AC011092.2"
834,"FABP5"
835,"AC060766.4"
836,"KIR3DL3"
837,"AC016205.1"
838,"AL138930.1"
839,"IL19"
840,"AL356056.1"
841,"RNF17"
842,"AC092115.2"
843,"CR2"
844,"ALDH3A1"
845,"FNDC7"
846,"CHGB"
847,"LMO7-AS1"
848,"TRAJ49"
849,"PABPC1"
850,"TBC1D12"
851,"AC027607.1"
852,"AL008719.1"
853,"KCNQ2"
854,"LINC02288"
855,"AL390036.1"
856,"AC010542.4"
857,"C19orf18"
858,"AC012442.1"
859,"RHOB"
860,"ALDH1L1"
861,"IFI27"
862,"IGHV3-21"
863,"AL603910.1"
864,"AL121809.1"
865,"AC096711.3"
866,"IGLV4-69"
867,"AC005695.3"
868,"AC087203.3"
869,"LCP1"
870,"PRSS40A"
871,"LINC01686"
872,"AL358473.1"
873,"CADM2"
874,"BCO2"
875,"IGKV1-39"
876,"OR7D2"
877,"LMO2"
878,"LINC01727"
879,"FSTL4"
880,"ITGA4"
881,"TRH"
882,"GSPT1"
883,"AL354956.1"
884,"REEP1"
885,"FOSL2"
886,"GAS2"
887,"INSR"
888,"AC007014.1"
889,"CILP"
890,"BMP2"
891,"PHLDA1"
892,"IGKV1-17"
893,"AC097634.1"
894,"MYH9"
895,"GPR25"
896,"ENTPD1"
897,"HIST1H1E"
898,"IDI1"
899,"AC005580.1"
900,"AL139124.1"
901,"LINC01871"
902,"TRAJ34"
903,"SH2D6"
904,"KLRC3"
905,"LINC02240"
906,"AC008676.1"
907,"JCHAIN"
908,"ESRP2"
909,"AC012555.1"
910,"AC022306.2"
911,"SOX7"
912,"NR1I3"
913,"AC068580.4"
914,"AC004771.1"
915,"AC004895.1"
916,"SATB1"
917,"LINC01010"
918,"SLC7A5"
919,"IGLV5-52"
920,"AL355916.2"
921,"KIR2DL1"
922,"FRY-AS1"
923,"RND3"
924,"AK8"
925,"LINC00578"
926,"VWA8-AS1"
927,"THSD1"
928,"AC022031.2"
929,"CD40LG"
930,"AHNAK"
931,"IGHG2"
932,"CD34"
