"Rank","Gene"
921,"HLX-AS1"
922,"SERPINI2"
923,"CEBPA-DT"
924,"PTPRC"
925,"TEX14"
926,"SEPT4"
927,"AC022167.2"
928,"MED12L"
929,"COG8-1"
930,"PTPRN2"
931,"AL049875.1"
932,"LRRC20"
933,"JCHAIN"
934,"AL391807.1"
935,"LGALS1"
936,"CFAP45"
937,"NOL3"
938,"CABP7"
939,"BEX3"
940,"CITED4"
941,"ZNF415"
942,"AC008438.1"
943,"AL592183.1"
944,"AC008906.2"
945,"HOXB3"
946,"AC048341.1"
947,"CALD1"
948,"ATF3"
949,"CLEC4D"
950,"CLCN4"
951,"SPOCK1"
952,"AC011287.1"
953,"BBOF1"
954,"PECAM1"
955,"TMEM238"
956,"IRF1"
957,"SLC18B1"
958,"AL121652.1"
959,"CASTOR3"
960,"TRAV3"
961,"HSPE1"
962,"SLCO4C1"
963,"SAP25"
964,"ANKRD33"
965,"ZNF467"
966,"RCN3"
967,"FUT10"
968,"NLRP3"
969,"EPHB4"
970,"LINC02518"
971,"TIAF1"
972,"HLA-E"
973,"SGK494"
974,"SOD1"
975,"CATSPER1"
976,"LRFN4"
977,"SCO2-1"
978,"AC104078.1"
979,"IGHV3-15"
980,"FFAR4"
981,"S1PR3"
982,"ACOT1"
983,"AC090527.3"
984,"AC008393.1"
985,"IKZF2"
986,"NPIPB13"
987,"NEBL"
988,"MPO"
989,"SRP14-AS1"
990,"CLEC4E"
991,"DCBLD2"
992,"TNFSF10"
993,"ANXA2"
994,"AC008937.3"
995,"HIST1H2BH"
996,"CDC42EP3"
997,"KIAA1958"
998,"LIF"
999,"AC010547.4"
1000,"COL24A1"
1001,"KIAA0319L"
1002,"NAP1L1"
1003,"INKA1"
1004,"BIVM"
1005,"TSC22D1"
1006,"EMB"
1007,"CCDC30"
1008,"TAF10"
1009,"CXCR2"
1010,"OSBPL7"
1011,"CYTIP"
1012,"PRR12"
1013,"P2RX5-TAX1BP3"
1014,"CYP1A1"
1015,"FAM198B-AS1"
1016,"PADI4"
1017,"NRG1"
1018,"HIST1H4I"
1019,"AC092192.1"
1020,"BORCS8-MEF2B"
1021,"AC125494.2"
1022,"AC012313.5"
1023,"MLH3"
1024,"PABPC3"
1025,"AC073335.2"
1026,"AC092794.1"
1027,"F8A2"
1028,"FFAR1"
1029,"AL590226.2"
1030,"YBX1"
1031,"AL021068.1"
1032,"C16orf95"
1033,"MAPK13"
1034,"AC135782.1"
1035,"MIA-RAB4B"
1036,"DSC2"
1037,"TBC1D3L"
1038,"RNF144B"
1039,"KCTD12"
1040,"CKB"
1041,"PLIN2"
1042,"AC008534.1"
1043,"LPAR2"
1044,"VPREB3"
1045,"LINC02470"
1046,"LINC01554"
1047,"AC005332.6"
1048,"FBXW9"
1049,"SLC16A1-AS1"
1050,"SERPINB9"
1051,"IGLV2-8"
1052,"MOSMO"
1053,"AP000254.1"
1054,"GSEC"
1055,"FKBP9"
1056,"MT1F"
1057,"GRIN2D"
1058,"AC009948.1"
1059,"LINC01185"
1060,"TEX22"
1061,"TMEM91"
1062,"ASNS"
1063,"GLCCI1"
1064,"RGPD5"
1065,"AL136962.1"
1066,"EPHA1-AS1"
1067,"AC104389.4"
1068,"SPOCK2"
1069,"AL139011.1"
1070,"ZNF713"
1071,"CD1D"
1072,"B4GALT6"
1073,"AC022973.3"
1074,"EXPH5"
1075,"AL133467.1"
1076,"HCN2"
1077,"AC004817.3"
1078,"AL132821.1"
1079,"AC020928.1"
1080,"SIGLEC15"
1081,"AC008277.1"
1082,"IFIT2"
1083,"AC009630.1"
1084,"MYBL1"
1085,"AL358790.1"
1086,"COG8"
1087,"ITGB8"
1088,"GP6"
1089,"PHACTR1"
1090,"AC105285.1"
1091,"TAS2R4"
1092,"AC096992.2"
1093,"TWISTNB"
1094,"CKLF-CMTM1"
1095,"RNASE6"
1096,"AC096677.1"
1097,"FP565260.6"
1098,"GDPD5"
1099,"LINC01506"
1100,"MAP2K6"
1101,"TPD52"
1102,"FAM229A"
1103,"AC093159.1"
1104,"CARMIL3"
1105,"N4BP3"
1106,"AC055713.1"
1107,"IFT122"
1108,"DCLRE1A"
1109,"LIPE-AS1"
1110,"SPATS2"
1111,"TMIGD2"
1112,"S100PBP"
1113,"MIR762HG"
1114,"TNNC2"
1115,"AL354892.2"
1116,"SLC35E2A"
1117,"ADHFE1"
1118,"GRAP2"
1119,"PXN"
1120,"TIGD5"
1121,"ATP2A3"
1122,"AC011450.1"
1123,"AL158212.2"
1124,"CAPG"
1125,"AC097641.2"
1126,"AC024575.1"
1127,"AC134682.1"
1128,"AC090948.3"
1129,"SNHG25"
1130,"AC026726.1"
1131,"DTX4"
1132,"VEGFA"
1133,"ZNF512B"
1134,"CDC7"
1135,"KRBA1"
1136,"AC040162.3"
1137,"AC073957.3"
1138,"CYB5RL"
1139,"KCTD2"
1140,"VAMP5"
1141,"TBX6"
1142,"APOBEC3B"
1143,"EPB41L5"
1144,"CERCAM"
1145,"F13A1"
1146,"LOH12CR2"
1147,"FCGR1B"
1148,"UBB"
1149,"AC111182.1"
1150,"GEMIN7"
1151,"CRISPLD2"
1152,"AC023509.2"
1153,"AC103591.3"
1154,"HSF4"
1155,"AC026333.4"
1156,"AC010422.3"
1157,"P2RY13"
1158,"EGR2"
1159,"PDE5A"
1160,"BIK"
1161,"INTU"
1162,"BUB1B"
1163,"ABALON"
1164,"TTC28"
1165,"GPRC5D-AS1"
1166,"SLC25A35"
1167,"AC011498.1"
1168,"FAM117A"
1169,"LMTK2"
1170,"NUP214"
1171,"HOXB4"
1172,"BEND2"
1173,"KCNH3"
1174,"ARL4C"
1175,"AF064858.1"
1176,"CYP2D6"
1177,"AC093627.4"
1178,"ATP6V0C"
1179,"OSGEPL1-AS1"
1180,"ELMO3"
1181,"AC012306.2"
1182,"VENTX"
1183,"AL033527.5"
1184,"GZMH"
1185,"ZBED8"
1186,"HIF1A-AS2"
1187,"AC121761.1"
1188,"KLF10"
1189,"AL031777.3"
1190,"AK1"
1191,"RNASET2"
1192,"HERC5"
1193,"CDA"
1194,"VCAN-AS1"
1195,"AC008610.1"
1196,"MINCR"
1197,"COMMD7"
1198,"HIST1H2BI"
1199,"LPAR1"
1200,"PSRC1"
1201,"H1F0"
1202,"KIF9-AS1"
1203,"ICOS"
1204,"AC105277.1"
1205,"RAB40C"
1206,"BX322234.1"
1207,"TLR6"
1208,"TAS2R14"
1209,"NFKB1"
1210,"HEMK1"
1211,"Z83844.3"
1212,"FAM3D"
1213,"SAP30"
1214,"MEGF9"
1215,"AC020916.1"
1216,"GLRX"
1217,"TRPM4"
1218,"FOXN3-AS1"
1219,"VNN2"
1220,"INPP5E"
1221,"F3"
1222,"PTPRE"
1223,"IDO1"
1224,"NRGN"
1225,"AC123768.2"
1226,"ZNF813"
1227,"LPAR6"
1228,"AIFM2"
1229,"MBD3"
1230,"AP003557.1"
1231,"SETD1B"
1232,"KIR3DL1"
1233,"TDRD9"
1234,"EPHX2"
1235,"SERPINA1"
1236,"PARP16"
1237,"HFE"
1238,"FBXL19"
1239,"KHK"
1240,"AC098850.3"
1241,"PLEKHG3"
1242,"SNAI3"
1243,"HIST1H2AC"
1244,"ZNF792"
1245,"ZNF615"
1246,"ABCA2"
1247,"IFIT3"
1248,"LY86-AS1"
1249,"CLEC5A"
1250,"CACNA1D"
1251,"RAB12"
1252,"ST20-AS1"
1253,"CENPS-CORT"
1254,"AP1S2"
1255,"GUCY2D"
1256,"DUSP4"
1257,"CD74"
1258,"AL591895.1"
1259,"COL7A1"
1260,"IGKV2-28"
1261,"MYCT1"
1262,"VAMP1"
1263,"HIST1H4H"
1264,"SCN9A"
1265,"IGHV5-51"
1266,"AC110285.5"
1267,"FCGR1A"
1268,"YPEL3"
1269,"TRAM2-AS1"
1270,"TRBV7-9"
1271,"HDAC7"
1272,"AL159169.2"
1273,"ANXA2R"
1274,"SPIN3"
1275,"UCP3"
1276,"CEBPA"
1277,"ERMN"
1278,"IGHG1"
1279,"DDIT4"
1280,"CUL9"
1281,"ID1"
1282,"HBB"
1283,"LINC00539"
1284,"TMEM105"
1285,"ANKRD22"
1286,"AC010542.4"
1287,"HIST1H2BE"
1288,"AC004067.1"
1289,"GHRLOS"
1290,"SH3BGRL2"
1291,"AC008758.4"
1292,"ICAM5"
1293,"MAP3K14"
1294,"PROS1"
1295,"KCTD3"
1296,"ZNF90"
1297,"HRH2"
1298,"AC062017.1"
1299,"LIN7A"
1300,"BCL9"
1301,"SLC27A4"
1302,"TMEM231"
1303,"ADAT2"
1304,"LINC02210-CRHR1"
1305,"LINC02139"
1306,"TSPOAP1"
1307,"AC074032.1"
1308,"HIST1H2AL"
1309,"FOXM1"
1310,"PRSS53"
1311,"PLOD2"
1312,"LRRFIP1"
1313,"AL138966.2"
1314,"TCHP"
1315,"FAM215B"
